1:10001	2.095238095238095
1:10002	2.4230769230769234
1:10003	2.294117647058824
1:10004	1.861111111111111
1:10005	1.55
1:10006	1.8
1:10007	1.25
2:10001	2.1666666666666665
2:10002	2.5000000000000004
2:10003	2.4411764705882355
2:10004	2.0
2:10005	1.55
2:10006	2.05
2:10007	1.0
3:10001	1.9047619047619047
3:10002	1.4230769230769234
3:10003	1.4411764705882355
3:10004	2.111111111111111
3:10005	2.6
3:10006	1.6500000000000001
3:10007	3.875
4:10001	3.0
4:10002	2.8461538461538463
4:10003	3.1470588235294117
4:10004	3.0555555555555554
4:10005	2.6
4:10006	3.3
4:10007	2.375
5:10001	3.2380952380952377
5:10002	3.2692307692307696
5:10003	3.3235294117647065
5:10004	3.277777777777778
5:10005	3.2
5:10006	3.45
5:10007	2.875
